osm_id,amenity_type,name,lat,lon,is_station
10080653197,pharmacy,Mariam Pharmacy,41.9686754,-87.7165074,False
10080653198,supermarket,Chicago Produce,41.9685782,-87.7163043,False
10100695467,convenience,7-Eleven,41.9077494,-87.8964676,False
10204083052,supermarket,Rio Valley Market,41.9288956,-87.8837001,False
10212405511,convenience,Citgo,41.9984964,-87.668258,False
10233568510,police,Cook County Sheriff's Police Substation,41.8950734,-87.7574475,False
10245073098,supermarket,Trader Joe's,41.8901725,-87.8046854,False
10253515249,convenience,Eden's Food and Liquors,41.9752024,-87.7485438,False
10254871949,community_centre,Sankofa Center at AAABNA,41.8949257,-87.7712385,False
10261545940,convenience,Circle K,41.8820901,-87.6336517,False
10261545941,convenience,Circle K,41.8859286,-87.6327993,False
10261545942,convenience,Circle K,41.8926358,-87.6294276,False
10272052682,convenience,Creative Mini Market,41.9137341,-87.6461225,False
10279305130,pharmacy,Walmart Pharmacy,41.9112806,-87.7433317,False
10571699170,convenience,BP Shop,41.9998679,-87.8837224,False
10646993941,convenience,Green Apple Mini Mart,41.9086406,-87.6383626,False
10684390293,convenience,Oak Pantry & Deli,41.7648526,-87.8973163,False
10686543463,supermarket,Wild Fork,41.9102642,-87.6532939,False
10738351268,convenience,7-Eleven,41.9759315,-87.8673296,False
10739322184,convenience,Lincoln C Mart,41.9230263,-87.6456251,False
10744642391,convenience,Pulaski & Lake Food Mart,41.8856541,-87.7259748,False
10752079944,convenience,Drake Quick Stop,41.9531874,-87.7769423,False
10752100865,supermarket,La Bodega - Food Market,41.9606849,-87.7747846,False
10788381145,convenience,Millenial Mart,41.898045,-87.6374345,False
10798764088,convenience,BP Shop,41.8220947,-87.6906865,False
10810668909,convenience,BP Shop,41.9750024,-87.7688943,False
10813150725,convenience,Around the Clock Food Store,42.019249,-87.6714937,False
10815801757,fire_station,Bridgeview Fire Department Station 1,41.7549989,-87.8054178,False
10824087448,convenience,Circle K,41.9468981,-87.6878231,False
10833615538,convenience,L'Africa L'afrique Market,41.8551482,-87.626791,False
10873822336,police,U.S. Postal Inspection Service,41.8737524,-87.6373635,False
10876313592,convenience,Food Mart,42.0077557,-87.6653352,False
10892863371,convenience,BP Shop,41.7788643,-87.7401502,False
10902767701,convenience,Veterans Canteen Service - Retail Store,41.869867,-87.6773115,False
10905884224,supermarket,Centro Fresh Market,41.9319403,-87.7471753,False
10925578811,convenience,7-Eleven,41.8818507,-87.6320733,False
10945665663,pharmacy,Walgreens,41.8795058,-87.6341437,False
10974152342,convenience,7-Eleven,41.8792694,-87.6335836,False
11017125693,supermarket,Go Grocer,41.9354222,-87.6396717,False
11023963531,convenience,Mi Lindo San Jose Grocery Store,41.8953459,-87.7146573,False
11064312683,restaurant,Eataly,41.892164,-87.6263766,False
11068226413,convenience,7-Eleven,41.8694525,-87.6650096,False
11082636843,convenience,River City Market,41.8711632,-87.6339459,False
11088290356,convenience,Gold Coast Market,41.8964791,-87.631059,False
11162182859,pharmacy,Walgreens,41.8849402,-87.6276035,False
11165378802,convenience,Circle K,41.8822575,-87.6264584,False
11165884250,convenience,Circle K,41.8981354,-87.6284971,False
11173297321,pharmacy,CVS Pharmacy,41.9629582,-87.6562141,False
11194776226,convenience,Shell,41.7649544,-87.6448011,False
11218702105,convenience,Hudson,41.9740584,-87.889972,False
11218702116,convenience,Evolve by Hudson,41.9743174,-87.8908886,False
11218702119,convenience,Protein Bar & Kitchen,41.974251,-87.8907735,False
11218702128,convenience,Goddess on the Go,41.9761807,-87.8917552,False
11218702132,convenience,Farm2Air Market,41.9768797,-87.8920926,False
11218702133,convenience,Fresh Attraction,41.9771074,-87.8923092,False
11234336985,convenience,Ricky’s Food Mart,41.9525742,-87.6513551,False
11234489176,community_centre,Rec Room,41.9576724,-87.6548223,False
11257222883,convenience,7-Eleven,41.9330453,-87.6678774,False
11258872240,community_centre,Third Space,41.9474714,-87.6479906,False
11263424199,convenience,Fresh Stop,41.9400764,-87.6527428,False
11280046161,convenience,Paradise Grocery,41.7474541,-87.6046633,False
11308359394,convenience,Flash Food Mart,41.8919717,-87.7124071,False
11335080464,fire_station,Bellwood Fire Department,41.8814272,-87.8728895,False
11335080465,police,Bellwood Police Department,41.8812275,-87.8721867,False
11335082185,convenience,Mobil Mart,41.9021323,-87.9027481,False
11382450821,supermarket,Montrose Supermarket & Taqueria,41.9612523,-87.714692,False
11413743789,pharmacy,AllCareX Discount Pharmacy,41.9104409,-87.6965926,False
11415570546,convenience,Exotic Snack Guys,41.927855,-87.6519277,False
11415572135,convenience,Exotic Snack Guys,41.9232377,-87.6976286,False
11421562656,pharmacy,CVS Pharmacy,41.9037335,-87.6311146,False
11425933410,supermarket,Valley of Jordan,41.7992762,-87.6008134,False
11461354890,police,Countryside Police Department,41.7747702,-87.8785758,False
11463899253,convenience,Six Points Market,41.9739728,-87.8832294,False
11463899258,convenience,Tidak bernama,41.974067,-87.8874725,False
11463899259,convenience,Hudson,41.9739369,-87.8888661,False
11480994725,supermarket,Supermarket Martins,41.9459054,-87.7566085,False
11481001125,convenience,Food Market Santa Fe,41.9459389,-87.7521618,False
11481859269,convenience,Kostner Korner,42.0193231,-87.7378625,False
11492089001,convenience,Hudson,41.9748343,-87.9060041,False
11514663513,convenience,Not Far From A Dollar,41.7605545,-87.6445591,False
11601284066,convenience,Breakers Pantry,41.9796563,-87.6548415,False
11638871046,convenience,Fine Food Mart,41.9670867,-87.6582145,False
11647066660,pharmacy,Walgreens,41.8497577,-87.8500096,False
11650015763,convenience,Circle K,41.8792593,-87.6350841,False
11672692559,convenience,West Loop Market,41.881731,-87.6583321,False
11673065193,convenience,BP Shop,41.8313717,-87.6176464,False
11698789551,pharmacy,Walgreens,41.9393175,-87.6704182,False
11716837382,pharmacy,Walgreens,41.9546817,-87.8064609,False
11716839274,pharmacy,Walgreens,41.9744415,-87.8063242,False
11716926482,pharmacy,Walgreens,41.9677707,-87.837218,False
11716926483,pharmacy,Walgreens,41.9848281,-87.82253,False
11716926486,pharmacy,Walgreens,41.9969648,-87.834165,False
11716926487,pharmacy,Walgreens,41.9561221,-87.8717758,False
11716926488,pharmacy,Walgreens,41.93525,-87.8355495,False
11716926489,pharmacy,Walgreens,41.9319218,-87.8070283,False
11716926490,pharmacy,CVS Pharmacy,41.9134427,-87.8055438,False
11716926491,pharmacy,Walgreens,41.9095857,-87.8062465,False
11716926492,pharmacy,CVS Pharmacy,41.9079346,-87.8234548,False
11881628171,convenience,West Loop Mart,41.8857123,-87.6525057,False
11881628175,pharmacy,CVS Pharmacy,41.8857188,-87.6536105,False
11887094978,convenience,Clark Haus,41.9741709,-87.6680388,False
11933390869,convenience,North Loop Market,41.8880533,-87.6291612,False
